player_id,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P (FG%),0-3 (FG%),3-10 (FG%),10-16 (FG%),16-3P (FG%),3P (FG%),2P (% AST'd),3P (% AST'd),Dunks %FGA,Dunks #,%3PA (Corner 3s),3P% (Corner 3s),Half Court Att.,Half Court Md.,Awards,Column_31
zubaciv01,15.0,Jaden McDaniels,24.0,MIN,PF,82.0,82.0,2614.0,0.477,12.8,0.637,0.253,0.23,0.121,0.032,0.363,0.561,0.73,0.427,0.535,0.296,0.33,0.611,0.95,0.074,51.0,0.512,0.335,3.0,0.0,
tatumja01,16.0,Keegan Murray,24.0,SAC,PF,76.0,76.0,2610.0,0.444,17.2,0.452,0.144,0.195,0.078,0.035,0.548,0.566,0.831,0.469,0.359,0.483,0.343,0.652,0.987,0.087,66.0,0.29,0.385,1.0,0.0,
mcdanja02,17.0,Zach LaVine,29.0,2TM,SG,74.0,74.0,2602.0,0.511,15.9,0.562,0.242,0.131,0.07,0.119,0.438,0.562,0.723,0.488,0.442,0.386,0.446,0.495,0.544,0.06,68.0,0.17,0.473,0.0,0.0,
murrake02,17.0,Zach LaVine,29.0,CHI,SF,42.0,42.0,1432.0,0.511,15.5,0.57,0.299,0.072,0.073,0.127,0.43,0.56,0.708,0.392,0.385,0.411,0.446,0.471,0.515,0.068,45.0,0.164,0.44,0.0,0.0,
lavinza01,17.0,Zach LaVine,29.0,SAC,SG,32.0,32.0,1170.0,0.511,16.3,0.55,0.164,0.212,0.066,0.107,0.45,0.564,0.762,0.532,0.529,0.345,0.446,0.528,0.583,0.049,23.0,0.177,0.512,0.0,0.0,
lavinza01,18.0,Shai Gilgeous-Alexander,26.0,OKC,PG,76.0,76.0,2598.0,0.519,12.9,0.737,0.206,0.231,0.222,0.079,0.263,0.571,0.742,0.492,0.548,0.42,0.375,0.212,0.35,0.028,46.0,0.034,0.333,1.0,0.0,"MVP-1,DPOY-10,CPOY-8,AS,NBA1"
lavinza01,19.0,Michael Porter Jr.,26.0,DEN,SF,77.0,77.0,2593.0,0.504,15.9,0.533,0.228,0.156,0.053,0.095,0.467,0.599,0.762,0.53,0.536,0.36,0.395,0.74,0.922,0.096,88.0,0.125,0.508,8.0,0.0,
gilgesh01,20.0,Derrick White,30.0,BOS,SG,76.0,76.0,2574.0,0.442,20.7,0.279,0.084,0.121,0.05,0.024,0.721,0.593,0.716,0.586,0.563,0.261,0.384,0.465,0.808,0.009,8.0,0.171,0.432,0.0,0.0,DPOY-10
portemi01,21.0,Dyson Daniels,21.0,ATL,SG,76.0,76.0,2571.0,0.493,10.4,0.745,0.284,0.377,0.078,0.007,0.255,0.545,0.676,0.486,0.389,0.167,0.34,0.517,0.938,0.054,45.0,0.217,0.431,6.0,0.0,"DPOY-2,MIP-1,DEF1"
whitede01,22.0,Nikola Jokić,29.0,DEN,C,70.0,70.0,2571.0,0.576,11.5,0.757,0.235,0.403,0.078,0.042,0.243,0.627,0.725,0.605,0.491,0.544,0.417,0.653,0.862,0.019,25.0,0.045,0.533,22.0,2.0,"MVP-2,CPOY-2,AS,NBA1"
daniedy01,23.0,Austin Reaves,26.0,LAL,SG,73.0,73.0,2550.0,0.46,17.1,0.488,0.142,0.211,0.107,0.028,0.512,0.547,0.748,0.484,0.45,0.379,0.377,0.44,0.72,0.007,7.0,0.122,0.446,7.0,0.0,
jokicni01,24.0,Toumani Camara,24.0,POR,PF,78.0,78.0,2548.0,0.458,14.0,0.497,0.289,0.198,0.008,0.001,0.503,0.542,0.652,0.401,0.167,0.0,0.375,0.658,0.956,0.084,49.0,0.419,0.358,1.0,0.0,"DPOY-9,DEF2"
reaveau01,25.0,Pascal Siakam,30.0,IND,PF,78.0,78.0,2548.0,0.519,12.4,0.726,0.218,0.258,0.179,0.071,0.274,0.568,0.771,0.544,0.441,0.345,0.389,0.589,0.976,0.041,45.0,0.29,0.404,1.0,0.0,AS
camarto01,26.0,Brook Lopez,36.0,MIL,C,80.0,80.0,2546.0,0.509,16.0,0.518,0.229,0.151,0.109,0.03,0.482,0.636,0.78,0.59,0.464,0.391,0.373,0.745,0.986,0.071,52.0,0.097,0.583,0.0,0.0,
siakapa01,27.0,Karl-Anthony Towns,29.0,NYK,C,72.0,72.0,2517.0,0.526,10.8,0.722,0.353,0.277,0.058,0.035,0.278,0.567,0.695,0.476,0.4,0.262,0.42,0.586,0.972,0.071,76.0,0.062,0.333,0.0,0.0,"AS,NBA3"
lopezbr01,28.0,Bub Carrington,19.0,WAS,PG,82.0,57.0,2458.0,0.401,19.1,0.456,0.102,0.114,0.102,0.139,0.544,0.475,0.553,0.353,0.553,0.462,0.339,0.481,0.667,0.027,18.0,0.135,0.327,1.0,0.0,
townska01,29.0,Cade Cunningham,23.0,DET,PG,70.0,70.0,2452.0,0.469,12.6,0.713,0.167,0.362,0.129,0.056,0.287,0.515,0.605,0.497,0.479,0.444,0.356,0.228,0.57,0.033,39.0,0.048,0.4,4.0,0.0,"MVP-7,AS,NBA3"
carrica01,30.0,Tyrese Haliburton,24.0,IND,PG,73.0,73.0,2451.0,0.473,19.3,0.441,0.101,0.14,0.107,0.092,0.559,0.581,0.725,0.582,0.546,0.462,0.388,0.391,0.528,0.024,22.0,0.073,0.439,9.0,0.0,NBA3
cunnica01,31.0,Coby White,24.0,CHI,SG,74.0,73.0,2450.0,0.453,16.6,0.479,0.224,0.153,0.06,0.043,0.521,0.544,0.669,0.456,0.507,0.25,0.37,0.336,0.759,0.01,8.0,0.135,0.38,8.0,0.0,
halibty01,32.0,LeBron James,40.0,LAL,SF,70.0,70.0,2444.0,0.513,13.4,0.688,0.242,0.23,0.113,0.104,0.312,0.574,0.782,0.473,0.503,0.394,0.376,0.382,0.691,0.056,71.0,0.088,0.343,2.0,0.0,"MVP-6,CPOY-7,AS,NBA2"
whiteco01,33.0,Domantas Sabonis,28.0,SAC,C,70.0,70.0,2429.0,0.59,8.1,0.825,0.43,0.306,0.044,0.047,0.175,0.627,0.708,0.56,0.462,0.452,0.417,0.63,0.985,0.097,80.0,0.051,0.5,0.0,0.0,
jamesle01,34.0,Jamal Murray,27.0,DEN,PG,67.0,67.0,2418.0,0.474,15.6,0.646,0.155,0.175,0.153,0.163,0.354,0.518,0.667,0.485,0.468,0.459,0.393,0.355,0.615,0.012,13.0,0.093,0.378,3.0,0.0,
sabondo01,35.0,Alperen Şengün,22.0,HOU,C,76.0,76.0,2395.0,0.496,7.5,0.921,0.319,0.405,0.164,0.033,0.079,0.519,0.679,0.454,0.396,0.368,0.233,0.473,0.952,0.067,65.0,0.067,0.333,0.0,0.0,AS
murraja01,36.0,Dillon Brooks,29.0,HOU,SF,75.0,75.0,2388.0,0.429,17.3,0.476,0.127,0.155,0.135,0.058,0.524,0.465,0.544,0.475,0.372,0.481,0.397,0.444,0.962,0.019,15.0,0.23,0.38,1.0,0.0,
sengual01,37.0,Rudy Gobert,32.0,MIN,C,72.0,72.0,2388.0,0.669,2.4,1.0,0.757,0.218,0.022,0.004,0.0,0.669,0.79,0.324,0.0,0.0,,0.707,,0.494,225.0,,,0.0,0.0,"DPOY-13,DEF2"
brookdi01,38.0,Tobias Harris,32.0,DET,PF,73.0,73.0,2305.0,0.477,13.1,0.672,0.168,0.293,0.168,0.043,0.328,0.542,0.77,0.475,0.489,0.314,0.345,0.539,0.934,0.075,56.0,0.447,0.39,0.0,0.0,
goberru01,39.0,Darius Garland,25.0,CLE,PG,75.0,75.0,2301.0,0.472,16.3,0.549,0.148,0.193,0.147,0.06,0.451,0.53,0.649,0.485,0.549,0.338,0.401,0.33,0.571,0.002,1.0,0.151,0.4,1.0,0.0,"CPOY-6,AS"
harrito02,40.0,Jalen Brunson,28.0,NYK,PG,65.0,65.0,2301.0,0.488,14.2,0.669,0.149,0.255,0.181,0.084,0.331,0.539,0.676,0.497,0.525,0.455,0.383,0.236,0.461,0.0,0.0,0.144,0.404,0.0,0.0,"MVP-10,CPOY-1,AS,NBA2"
garlada01,41.0,Jarrett Allen,26.0,CLE,C,82.0,82.0,2296.0,0.706,3.6,0.992,0.594,0.342,0.05,0.006,0.008,0.712,0.813,0.584,0.469,0.0,0.0,0.825,,0.272,159.0,0.4,0.0,0.0,0.0,
brunsja01,42.0,Chris Paul,39.0,SAS,PG,82.0,82.0,2292.0,0.427,21.2,0.364,0.026,0.048,0.189,0.101,0.636,0.514,0.8,0.536,0.518,0.424,0.377,0.22,0.493,0.0,0.0,0.127,0.34,2.0,0.0,
allenja01,43.0,Anfernee Simons,25.0,POR,SG,70.0,70.0,2292.0,0.426,17.9,0.473,0.124,0.181,0.108,0.059,0.527,0.496,0.636,0.446,0.369,0.591,0.363,0.186,0.609,0.014,15.0,0.093,0.327,5.0,0.0,
