player_id,year,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_pct,_3P,_3PA,_3P_pct,_2P,_2PA,_2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp_Dbl,6MOY,AS,CPOY,DEF1,DEF2,DPOY,MIP,MVP,NBA1,NBA2,NBA3,ROY
townska01,2024,49.0,Karl-Anthony Towns,28.0,MIN,PF,62.0,62.0,2026.0,479.0,951.0,0.504,136.0,327.0,0.416,343.0,624.0,0.55,0.575,255.0,292.0,0.873,94.0,421.0,515.0,189.0,43.0,41.0,177.0,204.0,1349.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
bogdabo01,2024,50.0,Bogdan Bogdanović,31.0,ATL,SG,79.0,33.0,2401.0,471.0,1100.0,0.428,240.0,641.0,0.374,231.0,459.0,0.503,0.537,151.0,164.0,0.921,53.0,219.0,272.0,247.0,96.0,26.0,112.0,179.0,1333.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
ingrabr01,2024,51.0,Brandon Ingram,26.0,NOP,SF,64.0,64.0,2103.0,500.0,1017.0,0.492,86.0,242.0,0.355,414.0,775.0,0.534,0.534,246.0,307.0,0.801,43.0,281.0,324.0,363.0,50.0,40.0,163.0,145.0,1332.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
sengual01,2024,52.0,Alperen Şengün,21.0,HOU,C,63.0,63.0,2046.0,527.0,982.0,0.537,33.0,111.0,0.297,494.0,871.0,0.567,0.553,244.0,352.0,0.693,183.0,406.0,589.0,312.0,76.0,46.0,162.0,211.0,1331.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
vassede01,2024,53.0,Devin Vassell,23.0,SAS,SG,68.0,62.0,2248.0,498.0,1056.0,0.472,166.0,446.0,0.372,332.0,610.0,0.544,0.55,161.0,201.0,0.801,27.0,234.0,261.0,277.0,73.0,23.0,108.0,74.0,1323.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
mccolcj01,2024,54.0,CJ McCollum,32.0,NOP,PG,66.0,66.0,2159.0,484.0,1055.0,0.459,239.0,557.0,0.429,245.0,498.0,0.492,0.572,115.0,139.0,0.827,39.0,247.0,286.0,305.0,62.0,41.0,110.0,126.0,1322.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
turnemy01,2024,55.0,Myles Turner,27.0,IND,C,77.0,77.0,2076.0,476.0,909.0,0.524,116.0,324.0,0.358,360.0,585.0,0.615,0.587,245.0,317.0,0.773,113.0,420.0,533.0,100.0,39.0,144.0,109.0,232.0,1313.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
reaveau01,2024,56.0,Austin Reaves,25.0,LAL,SG,82.0,57.0,2629.0,457.0,940.0,0.486,154.0,420.0,0.367,303.0,520.0,0.583,0.568,232.0,272.0,0.853,57.0,295.0,352.0,450.0,66.0,25.0,174.0,153.0,1300.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
millebr02,2024,57.0,Brandon Miller,21.0,CHO,SF,74.0,68.0,2383.0,476.0,1083.0,0.44,184.0,493.0,0.373,292.0,590.0,0.495,0.524,143.0,173.0,0.827,60.0,255.0,315.0,175.0,66.0,42.0,132.0,184.0,1279.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
markkla01,2024,58.0,Lauri Markkanen,26.0,UTA,PF,55.0,55.0,1820.0,427.0,890.0,0.48,175.0,439.0,0.399,252.0,451.0,0.559,0.578,249.0,277.0,0.899,122.0,327.0,449.0,110.0,50.0,26.0,77.0,100.0,1278.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
allenja01,2024,59.0,Jarrett Allen,25.0,CLE,C,77.0,77.0,2442.0,519.0,819.0,0.634,0.0,6.0,0.0,519.0,813.0,0.638,0.634,233.0,314.0,0.742,243.0,568.0,811.0,210.0,53.0,81.0,121.0,147.0,1271.0,0.0,0,0,0,0,0,10,0,0,0,0,0,0
vanvlfr01,2024,60.0,Fred VanVleet,29.0,HOU,PG,73.0,73.0,2684.0,423.0,1018.0,0.416,227.0,586.0,0.387,196.0,432.0,0.454,0.527,197.0,229.0,0.86,33.0,245.0,278.0,589.0,101.0,59.0,126.0,183.0,1270.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
divindo01,2024,61.0,Donte DiVincenzo,27.0,NYK,SG,81.0,63.0,2360.0,445.0,1004.0,0.443,283.0,705.0,0.401,162.0,299.0,0.542,0.584,86.0,114.0,0.754,63.0,234.0,297.0,216.0,107.0,36.0,113.0,166.0,1259.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
murraja01,2024,62.0,Jamal Murray,26.0,DEN,PG,59.0,59.0,1861.0,474.0,986.0,0.481,145.0,341.0,0.425,329.0,645.0,0.51,0.554,157.0,184.0,0.853,42.0,200.0,242.0,384.0,57.0,39.0,125.0,104.0,1250.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
butleji01,2024,63.0,Jimmy Butler,34.0,MIA,PF,60.0,60.0,2042.0,396.0,793.0,0.499,60.0,145.0,0.414,336.0,648.0,0.519,0.537,394.0,459.0,0.858,105.0,213.0,318.0,298.0,79.0,17.0,102.0,68.0,1246.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
roziete01,2024,64.0,Terry Rozier,29.0,2TM,SG,61.0,60.0,2040.0,442.0,998.0,0.443,149.0,410.0,0.363,293.0,588.0,0.498,0.518,172.0,198.0,0.869,35.0,212.0,247.0,342.0,63.0,21.0,106.0,101.0,1205.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
roziete01,2024,64.0,Terry Rozier,29.0,CHO,SG,30.0,30.0,1065.0,252.0,549.0,0.459,83.0,232.0,0.358,169.0,317.0,0.533,0.535,109.0,129.0,0.845,17.0,100.0,117.0,198.0,32.0,12.0,65.0,52.0,696.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
roziete01,2024,64.0,Terry Rozier,29.0,MIA,PG,31.0,30.0,975.0,190.0,449.0,0.423,66.0,178.0,0.371,124.0,271.0,0.458,0.497,63.0,69.0,0.913,18.0,112.0,130.0,144.0,31.0,9.0,41.0,49.0,509.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
harrito02,2024,65.0,Tobias Harris,31.0,PHI,PF,70.0,70.0,2368.0,463.0,951.0,0.487,91.0,258.0,0.353,372.0,693.0,0.537,0.535,187.0,213.0,0.878,80.0,373.0,453.0,217.0,70.0,46.0,93.0,115.0,1204.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
hardeja01,2024,66.0,James Harden,34.0,LAC,PG,72.0,72.0,2470.0,352.0,822.0,0.428,186.0,488.0,0.381,166.0,334.0,0.497,0.541,302.0,344.0,0.878,34.0,335.0,369.0,614.0,77.0,57.0,185.0,127.0,1192.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
barnesc01,2024,67.0,Scottie Barnes,22.0,TOR,SG,60.0,60.0,2094.0,447.0,942.0,0.475,101.0,296.0,0.341,346.0,646.0,0.536,0.528,196.0,251.0,0.781,141.0,353.0,494.0,363.0,75.0,88.0,165.0,118.0,1191.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0
kuminjo01,2024,68.0,Jonathan Kuminga,21.0,GSW,PF,74.0,46.0,1949.0,456.0,862.0,0.529,53.0,165.0,0.321,403.0,697.0,0.578,0.56,223.0,299.0,0.746,92.0,263.0,355.0,163.0,55.0,36.0,122.0,169.0,1188.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
iveyja01,2024,69.0,Jaden Ivey,21.0,DET,SG,77.0,61.0,2217.0,417.0,973.0,0.429,124.0,369.0,0.336,293.0,604.0,0.485,0.492,227.0,303.0,0.749,86.0,178.0,264.0,296.0,57.0,41.0,190.0,204.0,1185.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
murrake02,2024,70.0,Keegan Murray,23.0,SAC,SF,77.0,77.0,2588.0,443.0,975.0,0.454,183.0,511.0,0.358,260.0,464.0,0.56,0.548,103.0,124.0,0.831,106.0,314.0,420.0,129.0,79.0,59.0,64.0,205.0,1172.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
barrerj01,2024,71.0,RJ Barrett,23.0,2TM,SG,58.0,58.0,1838.0,436.0,880.0,0.495,90.0,250.0,0.36,346.0,630.0,0.549,0.547,208.0,291.0,0.715,53.0,262.0,315.0,193.0,31.0,22.0,126.0,129.0,1170.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
