player_id,year,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_pct,_3P,_3PA,_3P_pct,_2P,_2PA,_2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,6MOY,AS,CPOY,DEF1,DEF2,DPOY,MIP,MVP,NBA1,NBA2,NBA3,ROY
brownko01,2025,434.0,Kobe Brown,25.0,LAC,PF,40.0,0.0,272.0,6.0,13.0,0.458,1.1,4.7,0.231,4.9,8.3,0.587,0.5,0.9,1.3,0.714,3.4,8.3,11.8,4.3,1.3,0.7,2.2,4.2,13.9,110.0,111.0,0,0,0,0,0,0,0,0,0,0,0,0
smithdr01,2025,435.0,Dru Smith,27.0,MIA,SG,14.0,1.0,268.0,5.8,11.4,0.508,3.0,5.6,0.533,2.8,5.8,0.484,0.639,1.7,2.2,0.75,2.2,4.5,6.7,4.3,3.9,1.1,3.2,5.6,16.2,115.0,109.0,0,0,0,0,0,0,0,0,0,0,0,0
wongis01,2025,436.0,Isaiah Wong,24.0,CHO,SG,20.0,0.0,265.0,7.6,19.5,0.39,2.4,6.1,0.394,5.2,13.4,0.389,0.452,4.6,6.3,0.735,2.6,3.3,5.9,5.2,2.0,0.0,3.3,3.9,22.3,103.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0
baglema01,2025,437.0,Marvin Bagley III,25.0,2TM,PF,31.0,2.0,265.0,9.8,18.9,0.519,0.5,3.4,0.158,9.3,15.5,0.598,0.533,4.1,6.2,0.657,6.8,8.2,14.9,2.0,1.6,1.4,2.1,3.2,24.2,117.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0
baglema01,2025,437.0,Marvin Bagley III,25.0,WAS,C,19.0,1.0,166.0,10.9,20.3,0.535,0.6,2.9,0.2,10.3,17.5,0.59,0.549,4.3,6.6,0.652,7.7,8.3,16.0,2.0,2.0,1.4,3.2,3.4,26.7,113.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0
baglema01,2025,437.0,Marvin Bagley III,25.0,MEM,PF,12.0,1.0,99.0,8.0,16.4,0.486,0.5,4.2,0.111,7.5,12.2,0.615,0.5,3.8,5.6,0.667,5.2,8.0,13.1,1.9,0.9,1.4,0.5,2.8,20.2,125.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0
tshieos01,2025,438.0,Oscar Tshiebwe,25.0,UTA,C,14.0,1.0,255.0,7.9,13.2,0.6,0.0,0.0,,7.9,13.2,0.6,0.6,4.3,5.8,0.742,8.7,14.3,23.0,1.7,2.4,0.2,1.9,4.5,20.1,135.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0
timmedr01,2025,439.0,Drew Timme,24.0,BRK,PF,9.0,2.0,254.0,8.8,20.0,0.441,1.8,6.9,0.257,7.1,13.1,0.537,0.485,2.0,3.1,0.625,3.3,9.4,12.7,3.9,0.8,0.2,2.9,4.1,21.4,100.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0
baglema02,2025,440.0,Marcus Bagley,23.0,PHI,SF,10.0,4.0,253.0,5.3,13.4,0.391,1.0,6.2,0.156,4.3,7.2,0.595,0.428,1.6,1.9,0.8,4.5,9.2,13.6,1.9,1.8,2.3,1.4,3.1,13.1,105.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0
spencca01,2025,441.0,Cam Spencer,24.0,MEM,SG,25.0,1.0,252.0,6.3,15.1,0.415,3.5,9.6,0.365,2.8,5.5,0.5,0.53,3.5,3.5,1.0,2.2,3.3,5.5,6.3,1.7,0.2,1.1,4.2,19.6,134.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0
loveke01,2025,442.0,Kevin Love,36.0,MIA,PF,23.0,9.0,251.0,8.1,22.9,0.357,4.8,13.3,0.358,3.4,9.5,0.354,0.461,3.2,4.6,0.696,4.4,14.3,18.7,4.4,3.0,0.8,2.8,4.2,24.2,103.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0
spencpa01,2025,443.0,Pat Spencer,28.0,GSW,PG,39.0,0.0,250.0,8.0,19.7,0.406,1.0,4.3,0.227,7.0,15.4,0.456,0.431,2.1,2.9,0.733,2.9,6.0,9.0,9.3,2.7,0.6,3.5,3.9,19.1,103.0,111.0,0,0,0,0,0,0,0,0,0,0,0,0
thorjt01,2025,444.0,JT Thor,22.0,2TM,PF,20.0,0.0,249.0,4.8,11.3,0.424,1.1,4.0,0.286,3.6,7.3,0.5,0.475,2.9,4.2,0.682,3.8,5.4,9.2,1.1,1.5,1.7,1.7,3.3,13.6,106.0,118.0,0,0,0,0,0,0,0,0,0,0,0,0
thorjt01,2025,444.0,JT Thor,22.0,CLE,PF,9.0,0.0,42.0,10.3,17.2,0.6,3.4,6.9,0.5,6.9,10.3,0.667,0.7,8.0,9.2,0.875,3.4,3.4,6.9,1.1,2.3,3.4,6.9,6.9,32.1,114.0,110.0,0,0,0,0,0,0,0,0,0,0,0,0
thorjt01,2025,444.0,JT Thor,22.0,WAS,PF,11.0,0.0,207.0,3.7,10.1,0.364,0.7,3.4,0.2,3.0,6.7,0.448,0.398,1.8,3.2,0.571,3.9,5.7,9.7,1.1,1.4,1.4,0.7,2.5,9.9,103.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0
