player_id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
,Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
dosunay01,68.0,Ayo Dosunmu,24.0,CHI,SG,76.0,37.0,2212.0,0.501,0.568,0.403,0.583,0.81,0.604,0.146,0.41,106.0,104.0,110.0,107.0,103.0,104.0,60.0,104.0,53.1,36.4,
willizi01,69.0,Zion Williamson,23.0,NOP,PF,70.0,70.0,2207.0,0.57,0.574,0.333,0.573,0.702,0.61,0.452,0.016,120.0,105.0,91.0,105.0,90.0,105.0,185.0,4.0,58.2,79.8,
conlemi01,70.0,Mike Conley,36.0,MIN,PG,76.0,76.0,2193.0,0.457,0.481,0.442,0.595,0.911,0.627,0.174,0.629,96.0,88.0,121.0,109.0,116.0,108.0,71.0,159.0,63.1,64.8,
sochaje01,71.0,Jeremy Sochan,20.0,SAS,PF,74.0,73.0,2193.0,0.438,0.492,0.308,0.483,0.771,0.513,0.186,0.293,92.0,90.0,84.0,88.0,98.0,88.0,76.0,74.0,-98.2,-112.6,
hieldbu01,72.0,Buddy Hield,31.0,2TM,SF,84.0,42.0,2160.0,0.436,0.539,0.386,0.565,0.881,0.578,0.069,0.668,92.0,99.0,105.0,103.0,112.0,100.0,28.0,169.0,31.9,-3.1,
hieldbu01,72.0,Buddy Hield,31.0,IND,SF,52.0,28.0,1336.0,0.443,0.575,0.384,0.575,0.848,0.586,0.064,0.691,93.0,105.0,105.0,105.0,108.0,101.0,26.0,175.0,29.9,6.4,
hieldbu01,72.0,Buddy Hield,31.0,PHI,SG,32.0,14.0,824.0,0.426,0.492,0.389,0.55,0.923,0.566,0.078,0.634,90.0,90.0,106.0,101.0,118.0,98.0,32.0,160.0,2.0,-9.5,
mccolcj01,73.0,CJ McCollum,32.0,NOP,PG,66.0,66.0,2159.0,0.459,0.492,0.429,0.572,0.827,0.592,0.132,0.528,97.0,90.0,117.0,105.0,105.0,102.0,54.0,134.0,53.8,27.3,
dinwisp01,74.0,Spencer Dinwiddie,30.0,2TM,PG,76.0,52.0,2152.0,0.392,0.467,0.337,0.489,0.805,0.543,0.328,0.575,83.0,86.0,92.0,89.0,103.0,94.0,134.0,146.0,-73.5,-54.6,
dinwisp01,74.0,Spencer Dinwiddie,30.0,BRK,PG,48.0,48.0,1474.0,0.391,0.48,0.32,0.48,0.781,0.53,0.321,0.557,82.0,88.0,88.0,88.0,100.0,91.0,131.0,141.0,-66.4,-56.5,
dinwisp01,74.0,Spencer Dinwiddie,30.0,LAL,PG,28.0,4.0,678.0,0.397,0.412,0.389,0.521,0.88,0.586,0.355,0.638,84.0,76.0,106.0,95.0,112.0,101.0,145.0,162.0,-7.1,1.9,
jonestr01,75.0,Tre Jones,24.0,SAS,PG,77.0,48.0,2138.0,0.505,0.584,0.335,0.558,0.856,0.591,0.197,0.318,106.0,107.0,92.0,102.0,109.0,102.0,81.0,81.0,14.2,14.8,
willigr01,76.0,Grant Williams,25.0,2TM,PF,76.0,43.0,2130.0,0.456,0.558,0.375,0.56,0.757,0.588,0.231,0.555,96.0,102.0,103.0,103.0,97.0,101.0,95.0,141.0,16.7,10.7,
willigr01,76.0,Grant Williams,25.0,DAL,PF,47.0,33.0,1242.0,0.413,0.486,0.376,0.538,0.745,0.56,0.174,0.662,87.0,89.0,103.0,98.0,95.0,97.0,71.0,168.0,-5.5,-13.8,
willigr01,76.0,Grant Williams,25.0,CHO,PF,29.0,10.0,888.0,0.503,0.605,0.373,0.585,0.765,0.618,0.295,0.438,106.0,111.0,102.0,107.0,98.0,107.0,121.0,111.0,22.2,24.5,
jacksja02,77.0,Jaren Jackson Jr.,24.0,MEM,C,66.0,66.0,2124.0,0.444,0.501,0.32,0.494,0.808,0.552,0.359,0.315,94.0,92.0,87.0,90.0,103.0,95.0,147.0,80.0,-121.1,-74.7,
hardati02,78.0,Tim Hardaway Jr.,31.0,DAL,SF,79.0,12.0,2120.0,0.402,0.478,0.353,0.51,0.852,0.542,0.173,0.612,85.0,88.0,97.0,93.0,109.0,93.0,71.0,155.0,-71.8,-79.4,6MOY-9
claxtni01,79.0,Nic Claxton,24.0,BRK,C,71.0,71.0,2116.0,0.629,0.633,0.2,0.63,0.551,0.629,0.337,0.009,133.0,116.0,55.0,115.0,70.0,108.0,138.0,2.0,96.8,65.9,
jaqueja01,80.0,Jaime Jaquez Jr.,22.0,MIA,SF,75.0,20.0,2113.0,0.489,0.558,0.322,0.536,0.811,0.574,0.251,0.29,103.0,102.0,88.0,98.0,103.0,99.0,103.0,73.0,-14.9,-8.8,"ROY-4,6MOY-9"
princta02,81.0,Taurean Prince,29.0,LAL,PF,78.0,49.0,2108.0,0.442,0.519,0.396,0.566,0.735,0.579,0.119,0.622,93.0,95.0,108.0,103.0,94.0,100.0,49.0,158.0,21.8,-1.2,
wembavi01,82.0,Victor Wembanyama,20.0,SAS,C,71.0,71.0,2106.0,0.465,0.534,0.325,0.519,0.796,0.565,0.309,0.332,98.0,98.0,89.0,95.0,101.0,97.0,127.0,84.0,-66.4,-41.0,"ROY-1,DPOY-2,DEF1"
mcdanja02,83.0,Jaden McDaniels,23.0,MIN,SF,72.0,71.0,2105.0,0.489,0.592,0.337,0.557,0.722,0.571,0.126,0.406,103.0,109.0,92.0,102.0,92.0,98.0,51.0,103.0,13.6,-11.8,DEF2
ingrabr01,84.0,Brandon Ingram,26.0,NOP,SF,64.0,64.0,2103.0,0.492,0.534,0.355,0.534,0.801,0.578,0.302,0.238,104.0,98.0,97.0,98.0,102.0,100.0,124.0,60.0,-25.7,-4.4,
barnesc01,85.0,Scottie Barnes,22.0,TOR,SG,60.0,60.0,2094.0,0.475,0.536,0.341,0.528,0.781,0.566,0.266,0.314,100.0,98.0,93.0,97.0,100.0,98.0,109.0,80.0,-34.7,-29.8,AS
nurkiju01,86.0,Jusuf Nurkić,29.0,PHO,C,76.0,76.0,2078.0,0.51,0.555,0.244,0.528,0.64,0.559,0.416,0.144,108.0,102.0,67.0,97.0,82.0,96.0,170.0,36.0,-23.4,-31.5,
turnemy01,87.0,Myles Turner,27.0,IND,C,77.0,77.0,2076.0,0.524,0.615,0.358,0.587,0.773,0.626,0.349,0.356,110.0,113.0,98.0,107.0,99.0,108.0,143.0,90.0,74.4,96.8,
sextoco01,88.0,Collin Sexton,25.0,UTA,SG,78.0,51.0,2075.0,0.487,0.53,0.394,0.549,0.859,0.607,0.356,0.313,103.0,97.0,108.0,100.0,110.0,105.0,146.0,79.0,5.4,65.1,
thomaca02,89.0,Cam Thomas,22.0,BRK,SG,66.0,51.0,2075.0,0.442,0.481,0.364,0.503,0.856,0.554,0.281,0.333,93.0,88.0,99.0,92.0,109.0,96.0,115.0,84.0,-104.8,-68.8,
cunnica01,90.0,Cade Cunningham,22.0,DET,PG,62.0,62.0,2074.0,0.449,0.487,0.355,0.5,0.869,0.546,0.235,0.287,95.0,89.0,97.0,91.0,111.0,94.0,96.0,73.0,-108.6,-88.5,
kispeco01,91.0,Corey Kispert,24.0,WAS,SF,80.0,22.0,2067.0,0.486,0.643,0.383,0.602,0.726,0.62,0.198,0.605,102.0,118.0,105.0,110.0,93.0,107.0,81.0,153.0,88.1,68.8,
beysa01,92.0,Saddiq Bey,24.0,ATL,SF,63.0,51.0,2062.0,0.416,0.522,0.316,0.497,0.837,0.549,0.291,0.514,88.0,96.0,86.0,91.0,107.0,95.0,119.0,130.0,-68.9,-49.1,
