player_id,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
dinwisp01,74.0,Spencer Dinwiddie,30.0,LAL,PG,28.0,4.0,678.0,3.9,9.9,0.397,2.5,6.3,0.389,1.5,3.6,0.412,0.521,3.1,3.5,0.88,0.3,3.0,3.3,4.8,0.9,0.9,2.0,3.6,13.4,113.0,119.0,
jonestr01,75.0,Tre Jones,24.0,SAS,PG,77.0,48.0,2138.0,6.7,13.3,0.505,1.4,4.2,0.335,5.3,9.1,0.584,0.558,2.2,2.6,0.856,1.3,5.1,6.4,10.6,1.7,0.2,2.6,2.0,17.1,123.0,118.0,
willigr01,76.0,Grant Williams,25.0,2TM,PF,76.0,43.0,2130.0,6.3,13.8,0.456,2.9,7.7,0.375,3.4,6.1,0.558,0.56,2.4,3.2,0.757,2.0,5.3,7.2,4.0,1.0,0.9,2.5,5.2,17.9,113.0,119.0,
willigr01,76.0,Grant Williams,25.0,DAL,PF,47.0,33.0,1242.0,5.1,12.2,0.413,3.1,8.1,0.376,2.0,4.1,0.486,0.538,1.6,2.1,0.745,1.8,4.8,6.5,3.1,0.9,1.0,2.0,5.3,14.8,110.0,118.0,
willigr01,76.0,Grant Williams,25.0,CHO,PF,29.0,10.0,888.0,8.1,16.0,0.503,2.6,7.0,0.373,5.4,9.0,0.605,0.585,3.6,4.7,0.765,2.2,6.1,8.3,5.2,1.1,0.7,3.1,4.9,22.3,116.0,121.0,
jacksja02,77.0,Jaren Jackson Jr.,24.0,MEM,C,66.0,66.0,2124.0,11.9,26.7,0.444,2.7,8.4,0.32,9.2,18.3,0.501,0.494,7.8,9.6,0.808,2.0,6.4,8.4,3.5,1.8,2.4,3.7,5.4,34.2,107.0,113.0,
hardati02,78.0,Tim Hardaway Jr.,31.0,DAL,SF,79.0,12.0,2120.0,8.9,22.1,0.402,4.8,13.5,0.353,4.1,8.6,0.478,0.51,3.3,3.8,0.852,0.5,5.3,5.7,3.1,1.0,0.1,1.6,2.4,25.8,109.0,119.0,6MOY-9
claxtni01,79.0,Nic Claxton,24.0,BRK,C,71.0,71.0,2116.0,8.6,13.6,0.629,0.0,0.1,0.2,8.5,13.5,0.633,0.63,2.5,4.6,0.551,4.5,12.0,16.5,3.4,1.1,3.4,2.2,4.1,19.7,124.0,111.0,
jaqueja01,80.0,Jaime Jaquez Jr.,22.0,MIA,SF,75.0,20.0,2113.0,8.1,16.5,0.489,1.5,4.8,0.322,6.5,11.7,0.558,0.536,3.4,4.1,0.811,1.9,4.8,6.7,4.6,1.8,0.5,2.6,3.9,21.0,112.0,113.0,"ROY-4,6MOY-9"
princta02,81.0,Taurean Prince,29.0,LAL,PF,78.0,49.0,2108.0,5.7,12.9,0.442,3.2,8.0,0.396,2.5,4.9,0.519,0.566,1.1,1.5,0.735,0.5,4.7,5.2,2.7,1.3,0.8,1.6,3.3,15.7,108.0,118.0,
